,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,6636,Polkadot,DOT,polkadot-new,393,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1107846849.8234432,1223070520.1486232,,11,904869778.0,7618816325.900571,,2022-08-17T15:36:00.000Z,8.41979311403256,479604095.55062103,25.0253,-0.24277848,-3.96086092,-12.41152879,11.14819286,22.67570708,-18.01444358,9327841277.54609,0.8335,10298000743.52,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
11,5994,Shiba Inu,SHIB,shiba-inu,399,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,12,,,,2022-08-17T15:36:00.000Z,1.541497095686369e-05,1000697112.285321,-32.2919,-3.08678282,-2.69271141,24.25443362,32.78900858,97.22383129,28.35213675,8463794497.358543,0.7566,9090748365.99,,2022-08-17T15:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-08-17 15:38:33.638456
12,5805,Avalanche,AVAX,avalanche,299,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,284947602.45292944,404229626.49901325,,13,,,,2022-08-17T15:36:00.000Z,26.200501124218157,472508712.1149524,13.1244,-0.26953126,-5.09889401,-12.14024229,10.77335301,74.290623,-16.66130474,7465769978.411246,0.6671,18864360809.44,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
13,3890,Polygon,MATIC,polygon,459,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,8042124673.28493,10000000000.0,,14,,,,2022-08-17T15:36:00.000Z,0.8981082580062201,456793764.55677223,3.6732,-0.24923144,-4.51224669,-4.21283867,-4.2126976,149.52874404,35.10347606,7222698580.99277,0.6454,8981082580.06,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
14,4943,Dai,DAI,multi-collateral-dai,1211,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,7207678978.146216,7207678978.146216,,15,,,,2022-08-17T15:36:00.000Z,0.9991782360346212,613722107.843987,13.9645,0.01420166,-0.08202574,-0.12490799,-0.04753816,-0.07761098,-0.21188367,7201755967.287957,0.6434,7201755967.29,,2022-08-17T15:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-08-17 15:38:33.638456
0,1,Bitcoin,BTC,bitcoin,9672,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19124031.0,19124031.0,,1,,,,2022-08-17T15:36:00.000Z,23431.818028501508,30696980826.83044,7.4377,-0.04534468,-1.69041567,-2.49152219,5.5597756,22.7676334,-22.60033562,448110814363.4217,40.0346,492068178598.53,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
1,1027,Ethereum,ETH,ethereum,6008,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,122000712.0615,122000712.0615,,2,,,,2022-08-17T15:36:00.000Z,1835.0567432125256,19331099649.07308,16.6909,0.06830796,-2.65641242,-0.50282254,23.92814484,84.45015787,-8.93019104,223878229345.18527,20.0015,223878229345.19,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
2,825,Tether,USDT,tether,38308,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,67565962655.048164,69158976373.56549,,3,,,,2022-08-17T15:36:00.000Z,1.0000995401109836,52724607664.81017,6.9988,0.00111286,0.00050894,-0.03079329,0.02038489,0.13535365,0.12158353,67572688178.46956,6.037,69165860465.75,,2022-08-17T15:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-08-17 15:38:33.638456
3,3408,USD Coin,USDC,usd-coin,5774,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,53436646601.040565,53436646601.040565,,4,,,,2022-08-17T15:36:00.000Z,0.9999135459983663,6755363956.862167,2.4722,-0.01122522,-0.02210193,-0.0073767,-0.01219737,-0.04614686,-0.04297003,53432026789.108025,4.7765,53432026789.11,,2022-08-17T15:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-08-17 15:38:33.638456
4,1839,BNB,BNB,bnb,1069,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-08-17T15:36:00.000Z,307.6223352507537,1059600673.4675813,5.4475,-0.04991583,-2.33626278,-8.20598333,17.94691033,53.76736443,0.21466636,49630945019.466354,4.4367,61524467050.15,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
5,52,XRP,XRP,xrp,798,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,49377587823.0,99989361309.0,,6,,,,2022-08-17T15:36:00.000Z,0.3729912569280859,1319858368.8920166,41.7835,0.27891873,-0.20794888,-1.50312911,2.86457251,21.73570163,-11.02700141,18417408546.17772,1.6456,37299125692.81,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
6,2010,Cardano,ADA,cardano,550,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34277702081.605,,7,,,,2022-08-17T15:36:00.000Z,0.5355530528638007,1021475574.1649638,32.9553,-0.03303991,-4.16949161,-0.17984868,9.26594484,16.50561605,-0.92274608,18069039722.27142,1.6143,24099887378.87,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
7,4687,Binance USD,BUSD,binance-usd,4754,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,18063917316.969254,18063917316.969254,,8,,,,2022-08-17T15:36:00.000Z,1.0002014128144283,5800346381.770084,5.0054,0.02436842,0.02285848,0.03390745,0.03105671,-0.17418307,-0.10131484,18067555621.395664,1.6144,18067555621.4,,2022-08-17T15:36:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-08-17 15:38:33.638456
8,5426,Solana,SOL,solana,364,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,348837023.0685559,511616946.142289,,9,,,,2022-08-17T15:36:00.000Z,41.131003985869526,1189723938.7554824,-3.1646,-0.58108114,-4.90802716,-2.84365019,-1.69896155,37.27947737,-22.639746,14348016986.251633,1.2819,21043318651.02,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
9,74,Dogecoin,DOGE,dogecoin,546,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-08-17T15:36:00.000Z,0.08154871316975877,1163071966.0359254,-33.9116,-0.7713915,-3.50736465,14.43770193,20.95734667,53.23204619,-6.17074881,10819130103.904736,0.9672,10819130103.9,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
10,6636,Polkadot,DOT,polkadot-new,393,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1107846849.8234432,1223070520.1486232,,11,904869778.0,7618816325.900571,,2022-08-17T15:36:00.000Z,8.41979311403256,479604095.55062103,25.0253,-0.24277848,-3.96086092,-12.41152879,11.14819286,22.67570708,-18.01444358,9327841277.54609,0.8335,10298000743.52,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
11,5994,Shiba Inu,SHIB,shiba-inu,399,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,12,,,,2022-08-17T15:36:00.000Z,1.541497095686369e-05,1000697112.285321,-32.2919,-3.08678282,-2.69271141,24.25443362,32.78900858,97.22383129,28.35213675,8463794497.358543,0.7566,9090748365.99,,2022-08-17T15:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-08-17 15:38:33.638456
12,5805,Avalanche,AVAX,avalanche,299,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,284947602.45292944,404229626.49901325,,13,,,,2022-08-17T15:36:00.000Z,26.200501124218157,472508712.1149524,13.1244,-0.26953126,-5.09889401,-12.14024229,10.77335301,74.290623,-16.66130474,7465769978.411246,0.6671,18864360809.44,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
13,3890,Polygon,MATIC,polygon,459,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,8042124673.28493,10000000000.0,,14,,,,2022-08-17T15:36:00.000Z,0.8981082580062201,456793764.55677223,3.6732,-0.24923144,-4.51224669,-4.21283867,-4.2126976,149.52874404,35.10347606,7222698580.99277,0.6454,8981082580.06,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
14,4943,Dai,DAI,multi-collateral-dai,1211,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,7207678978.146216,7207678978.146216,,15,,,,2022-08-17T15:36:00.000Z,0.9991782360346212,613722107.843987,13.9645,0.01420166,-0.08202574,-0.12490799,-0.04753816,-0.07761098,-0.21188367,7201755967.287957,0.6434,7201755967.29,,2022-08-17T15:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-08-17 15:38:33.638456
0,1,Bitcoin,BTC,bitcoin,9672,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19124031.0,19124031.0,,1,,,,2022-08-17T15:38:00.000Z,23426.289176771348,30652117441.38411,7.0435,-0.0134688,-1.77957203,-2.46180335,5.42138909,22.81870728,-22.86145444,448005080431.53973,40.0252,491952072712.2,,2022-08-17T15:38:00.000Z,,,,,,2022-08-17 15:39:34.701939
1,1027,Ethereum,ETH,ethereum,6008,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,122000712.0615,122000712.0615,,2,,,,2022-08-17T15:38:00.000Z,1833.8579843735104,19315200157.847935,16.4588,0.08550846,-2.72872929,-0.50644242,23.68070621,84.39308086,-9.19145157,223731979913.2354,19.9884,223731979913.24,,2022-08-17T15:38:00.000Z,,,,,,2022-08-17 15:39:34.701939
2,825,Tether,USDT,tether,38308,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,67565962655.048164,69158976373.56549,,3,,,,2022-08-17T15:38:00.000Z,1.000099988157517,52688495514.11096,6.8152,0.00090002,0.00198639,-0.01927297,0.02414141,0.13297008,0.11054329,67572718451.1649,6.037,69165891452.19,,2022-08-17T15:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-08-17 15:39:34.701939
3,3408,USD Coin,USDC,usd-coin,5774,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,53436646601.040565,53436646601.040565,,4,,,,2022-08-17T15:38:00.000Z,0.9998726526922276,6745792975.292512,2.1952,0.00687874,-0.01810306,-0.00315726,-0.04271541,-0.05965522,-0.05845588,53429841587.95953,4.7763,53429841587.96,,2022-08-17T15:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-08-17 15:39:34.701939
4,1839,BNB,BNB,bnb,1069,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-08-17T15:38:00.000Z,307.47018696058365,1058631328.8320597,5.3016,0.0236363,-2.43422999,-8.17534252,17.73512197,53.7423341,-0.11659523,49606397831.0508,4.4345,61494037392.12,,2022-08-17T15:38:00.000Z,,,,,,2022-08-17 15:39:34.701939
5,52,XRP,XRP,xrp,798,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,49377587823.0,99989361309.0,,6,,,,2022-08-17T15:38:00.000Z,0.3726824415402211,1320354812.4621804,41.6882,0.22664693,-0.32884345,-1.49259941,2.6034453,21.67390698,-11.45328314,18402159987.242332,1.6452,37268244154.02,,2022-08-17T15:38:00.000Z,,,,,,2022-08-17 15:39:34.701939
6,4687,Binance USD,BUSD,binance-usd,4754,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,18063917316.969254,18063917316.969254,,7,,,,2022-08-17T15:38:00.000Z,1.000071962931425,5799237797.381504,4.9973,0.02093823,0.01078121,0.02198681,0.02763228,-0.05708268,-0.01020321,18065217249.4124,1.6151,18065217249.41,,2022-08-17T15:38:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-08-17 15:39:34.701939
